Agency,Budget year,est_completion,est_expenditure,est_rem,Fixed notes,Project,Project type,Sector,TEI
Department of Transport and Planning,2021,tbc,591000000,66000000,The TEI includes $499.380 million of Commonwealth Government funding. The estimated completion date is to be confirmed due to legal challenges.,Western Highway duplication - Ballarat to Stawell (regional various),Existing,Transport,656000000
Department of Transport and Planning,2021,qtr 2 2022-23,608000000,20000000,The TEI has decreased by $1.700 million due to reprioritisation towards the Targeted Road Safety Works project. This initiative is funded by the Transport Accident Commission.,Road Safety Strategy 2013-2022 (statewide),Existing,Transport,628000000
Department of Transport and Planning,2021,qtr 2 2025-26,747000000,1766000000,The TEI has increased by $303.857 million due to market conditions and excludes $59.858 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. The TEI includes $1 140.000 million of Commonwealth Government funding.,Suburban Roads Upgrade - Northern Roads Upgrade and South Eastern Roads Upgrade (statewide),Existing,Transport,2513000000
Department of Transport and Planning,2021,qtr 2 2022-23,785000000,234000000,The TEI includes $686.216 million of Commonwealth Government funding. The TEI excludes $34.523 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Monash Freeway upgrade - Stage 2 (South-East Melbourne),Existing,Transport,1019000000
Director of Housing,2021,tbc,5000000,255000000,"The TEI includes project development, market testing, procurement costs and the Government's capital contribution to the project. It is expected that the Government investment will be matched by an equivalent contribution by the private sector for the Build to Rent element of the project, being an integral part of the delivery model. The TEI excludes the service payment to be made by Homes Victoria to Project Co during the Operational Phase.",Homes Victoria Ground Lease Model Project 2 (metropolitan),New,Health and human services,260000000
Director of Housing,2021,qtr 4 2026-27,20000000,164000000,,Big Housing Build physical improvements (statewide),Existing,Health and human services,184000000
Director of Housing,2021,qtr 2 2024-25,53000000,132000000,,Public housing renewal program (statewide),Existing,Health and human services,185000000
Director of Housing,2021,qtr 3 2023-24,114000000,149000000,"The TEI includes a capital contribution, State costs, development costs covered by the Service Payment exclusive of GST and retained risk during the delivery phase. The capital expenditure is higher than the reported TEI due to an offset from rental income.",Homes Victoria Ground Lease Model Project 1 (metropolitan),Existing,Health and human services,264000000
Director of Housing,2021,qtr 4 2022-23,153000000,2000000,,Building works stimulus (statewide),Existing,Health and human services,155000000
Director of Housing,2021,qtr 4 2026-27,965000000,2102000000,The TEI has been updated from the Big Housing Build program announced in the 2020-21 Budget to include the Building New Homes to Fight Homelessness program and to reflect a reclassification of certain expenditure between capital and operating in line with accounting standards.,Big Housing Build (statewide),Existing,Health and human services,3067000000
Fire Rescue Victoria,2021,qtr 4 2025-26,11000000,93000000,This program includes 17 projects previously published separately in the 2021-22 Budget. These projects will be managed as a single capital upgrades program by the Community Safety Building Authority. The TEI has decreased by $11.026 million due to a revised program scope. The estimated completion date has been revised to quarter 4 2025-26 to reflect a revised schedule of works. The estimated completion date applies to the total program of works. Individual projects may be completed ahead of this date. The location and previous project names published in the 2021-22 Budget were: Armstrong Creek Fire Station - construction (Armstrong Creek); Baker St Temp Station (Richmond); Ballarat City Fire Station - construction (Ballarat City); Bendigo Fire Station - construction (Bendigo); Boronia Fire Station - construction (Boronia); Box Hill Fire Station - construction (Box Hill); Broadmeadows Fire Station Refurbishment (Broadmeadows); Clyde North Fire Station - construction (Clyde North); Corio Fire Station - construction (Corio); Craigieburn Fire Station - construction (Craigieburn); Frankston Fire Station - construction (Frankston); Lara Fire Station - construction (Lara); Latrobe West Fire Station - construction (Latrobe West); Mornington Fire Station - construction (Mornington); Port Melbourne Fire Station - construction (Port Melbourne); Ringwood Fire Station Refurbishment (Ringwood); and Springvale Fire Station - construction (Springvale).,FRV Capital Upgrades Program (statewide),Existing,Justice and emergency services,104000000
Goulburn Murray Rural Water Corporation,2021,qtr 2 2021-22,1076000000,0,,Connections project (regional various),Completed,Water,1076000000
Goulburn Murray Rural Water Corporation,2021,ongoing,30000000,93000000,The TEI has decreased due to the Connections project which was previously included in completed projects.,Water efficiency project (regional various),Existing,Water,123000000
Other PNFC,2021,qtr 4 2022‑23,10000000,131000000,,Kardinia Park Stadium Stage 5 redevelopment (Geelong),Existing,"Culture, sport and community",141000000
Other PNFC,2021,tbc,23000000,1549000000,The TEI has increased by $162.241 million due to expanded scope of works including the renewal of the State Theatre and Public Realm and associated works. The estimated completion date will be disclosed following further project planning and development.,Melbourne Arts Precinct transformation Phase One (Melbourne),Existing,"Culture, sport and community",1572000000
Other PNFC,2021,qtr 2 2023‑24,33000000,107000000,,Building a world‑class Geelong Performing Arts Centre (Geelong),Existing,"Culture, sport and community",140000000
Other PNFC,2021,qtr 1 2023-24,54000000,75000000,The TEI has decreased by $3.551 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. The TEI includes a $27.000 million contribution from Knox City Council.,State Basketball Centre redevelopment (Knox),Existing,"Culture, sport and community",128000000
Other PNFC,2021,qtr 1 2022-23,296000000,0,"The TEI includes $20.500 million from Melbourne Olympic Parks Trust and $3.972 million from Tennis Australia. The project is expected to reach practical completion in quarter 4 2021-22, with financial completion expected to be quarter 1 2022-23.",Melbourne Park redevelopment stage three (Melbourne),Completed,"Culture, sport and community",296000000
State Tolling Corporation,2021,qtr 2 2028-29,1104000000,12930000000,The TEI includes the $11.100 billion contract with the Spark consortium to deliver the Primary Package and other costs associated with the operations of STC. The TEI includes $1.750 billion of Commonwealth Government funding. The TEI excludes financing costs associated with the Primary Package. The State Tolling Corporation is responsible for providing funding contributions to the North East Link – Primary Package (Tunnels).,North East Link - Primary Package (Tunnels) and State Toll Co,Existing,Transport,14034000000
Victorian Rail Track,2021,qtr 4 2027-28,0,173000000,The TEI includes $31.000 million and $11.370 million of funding from the Digital Train Radio System (DTRS) project and Metropolitan rail infrastructure renewal program respectively.,Train radio system upgrade (metropolitan),New,Transport,173000000
Victorian Rail Track,2021,qtr 4 2026-27,0,250000000,,More VLocity trains (regional),New,Transport,250000000
Victorian Rail Track,2021,qtr 4 2025-26,0,368000000,"This initiative supports the Next Generation Trams initiative by delivering a Train Maintenance Facility at Maidstone, upgrades to the Southbank tram depot and substation upgrades across the network. The total value of the Next Generation Trams project is $1.85 billion.",Tram infrastructure upgrades (metropolitan various),Existing,Transport,368000000
Victorian Rail Track,2021,qtr 1 2023-24,1751000000,498000000,The TEI has increased by $5.000 million due to project scope changes. The TEI includes financing costs.,High Capacity Metro Trains (metropolitan various),Existing,Transport,2248000000
Victorian Rail Track,2021,qtr 4 2025-26,1000000,204000000,,Regional Rail Sustainability (regional),New,Transport,205000000
Victorian Rail Track,2021,qtr 1 2024-25,5000000,255000000,The TEI includes $208.000 million of Commonwealth Government funding.,Regional Rail Revival - Warrnambool Line Upgrade - Stage 2 (regional various),Existing,Transport,260000000
Victorian Rail Track,2021,qtr 2 2025-26,8678000000,3683000000,"The TEI has increased by $106.238 million due to COVID-19 related payments, and excludes $182.856 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. The TEI excludes financing costs.",Metro Tunnel (metropolitan various),Existing,Transport,12361000000
Victorian Rail Track,2021,qtr 1 2025-26,11000000,114000000,,Rolling stock maintenance and disposal programs (statewide),Existing,Transport,125000000
Victorian Rail Track,2021,qtr 4 2023-24,19000000,381000000,The TEI includes $320.000 million of Commonwealth Government funding.,Regional Rail Revival - Shepparton Line Upgrade - Stage 3 (Shepparton),Existing,Transport,400000000
Victorian Rail Track,2021,qtr 4 2025-26,20000000,221000000,,Caulfield Rationalisation Works (metropolitan various),Existing,Transport,240000000
Victorian Rail Track,2021,qtr 2 2024-25,24000000,875000000,The TEI includes $754.000 million of Commonwealth Government funding.,Regional Rail Revival - Waurn Ponds Track Duplication - Stage 2 (regional various),Existing,Transport,899000000
Victorian Rail Track,2021,qtr 4 2023-24,76000000,34000000,,New Trams (metropolitan various),Completed,Transport,110000000
Victorian Rail Track,2021,qtr 2 2022-23,88000000,87000000,"The TEI includes $158.680 million of Commonwealth Government funding, and excludes $0.368 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.",Regional Rail Revival - Bendigo/Echuca Line Upgrade (regional various),Existing,Transport,175000000
Victorian Rail Track,2021,qtr 4 2024-25,94000000,370000000,,Regional rail sustainability (statewide),Existing,Transport,465000000
Victorian Rail Track,2021,qtr 2 2023-24,99000000,370000000,The TEI has increased by $317.199 million due to project scope changes and market conditions. The reporting for the project was previously 'tbc' and has been confirmed following contract award.,City Loop fire and safety upgrade (stage 2) and intruder alarm (Melbourne),Existing,Transport,469000000
Victorian Rail Track,2021,qtr 2 2026-27,102000000,884000000,The reporting for the project was previously 'tbc' and has now been disclosed.,New metropolitan trains (statewide),Existing,Transport,986000000
Victorian Rail Track,2021,qtr 2 2025-26,140000000,137000000,,Dandenong Corridor Readiness Works (metropolitan various),Existing,Transport,277000000
Victorian Rail Track,2021,qtr 2 2022-23,169000000,145000000,The TEI excludes $1.103 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Regional Rail Revival - Shepparton Corridor Upgrade - Stage 2 (Shepparton),Existing,Transport,314000000
Victorian Rail Track,2021,qtr 2 2022-23,169000000,363000000,"The TEI includes $447.700 million of Commonwealth Government funding, and excludes $1.436 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.",Regional Rail Revival - Gippsland Line Upgrade Stage 1 (regional various),Existing,Transport,531000000
Victorian Rail Track,2021,qtr 4 2028-29,172000000,1296000000,The TEI has decreased by $15.000 million due to movement of scope to the Delivering the Tram Plan initiative.,Next Generation Trams (metropolitan various),Existing,Transport,1468000000
Victorian Rail Track,2021,qtr 4 2022-23,204000000,20000000,The estimated completion date has been revised to quarter 4 2022-23 due to COVID-19 impacts.,More regional trains - Regional Network Development Plan (regional various),Existing,Transport,224000000
Victorian Rail Track,2021,qtr 2 2022-23,209000000,42000000,The estimated completion date has been revised to quarter 2 2022-23 to align with completion of stabling and maintenance works for the Warrnambool and Geelong Line.,New VLocity carriages for the regional network (regional various),Existing,Transport,251000000
Victorian Rail Track,2021,qtr 2 2022-23,214000000,36000000,"The TEI includes $226.345 million of Commonwealth Government funding, and excludes $1.611 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. The estimated completion date has been revised to reflect a revised project schedule.",Regional Rail Revival - Warrnambool and Geelong Line Upgrade (regional various),Existing,Transport,250000000
Victorian Rail Track,2021,qtr 4 2023-24,218000000,122000000,,Additional VLocity trains (regional various),Existing,Transport,340000000
Victorian Rail Track,2021,qtr 4 2025-26,238000000,19000000,The TEI has increased by $17.300 million due to increased land acquisition and land contamination rectification costs.,Frankston Line stabling (Kananook),Completed,Transport,257000000
Victorian Rail Track,2021,qtr 2 2024-25,280000000,338000000,The TEI has increased by $132.899 million due to additional Commonwealth Government funding for the delivery of car parks and related infrastructure. The TEI excludes $0.397 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Car Parks for Commuters (statewide),Existing,Transport,618000000
Victorian Rail Track,2021,qtr 3 2022-23,311000000,292000000,The TEI has increased by $66.000 million and the estimated completion date has been revised due to the identification of the Eltham Copper Butterfly and associated habitat requiring a scope change and impacting the project's completion schedule. The TEI excludes $0.014 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Hurstbridge Line Upgrade Stage 2 (metropolitan various),Existing,Transport,603000000
Victorian Rail Track,2021,tbc,417000000,378000000,"The TEI includes $470.400 million of Commonwealth Government funding, and excludes $17.286 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. The completion date will be disclosed following completion of the procurement process.",Murray Basin Rail Project (regional various),Existing,Transport,794000000
Victorian Rail Track,2021,qtr 4 2025-26,461000000,280000000,The TEI has increased by $6.000 million due to reprioritisations from other Rolling Stock projects for safety and accessibility works to E-Class trams.,E-Class Tram Infrastructure Program (metropolitan various),Existing,Transport,741000000
Victorian Rail Track,2021,qtr 4 2025-26,479000000,1097000000,"As a rolling program of works, the TEI varies from year to year. The TEI incorporates all capital funding for metropolitan rail infrastructure renewals from 2018-19 to 2025-26.",Metropolitan rail infrastructure renewal program (metropolitan various),Existing,Transport,1576000000
Victorian Rail Track,2021,qtr 4 2024-25,493000000,1866000000,The TEI excludes $90.295 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Suburban Rail Loop Initial and Early Works (metropolitan various),Existing,Transport,2360000000
Victorian Rail Track,2021,qtr 3 2023-24,623000000,59000000,The TEI has decreased by $83.300 million due to savings made in project delivery. The project completion date has been brought forward due to the project being completed ahead of schedule.,Cranbourne Line Duplication (metropolitan various),Completed,Transport,682000000
Victorian Rail Track,2021,qtr 2 2024-25,750000000,1223000000,,New trains for Sunbury (metropolitan various),Existing,Transport,1973000000
Court Services Victoria,2022,qtr 3 2024-25,63000000,208000000,The estimated completion date has been revised to quarter 3 2024-25 in line with a revised project schedule.,New Wyndham Law Court Development (Werribee),Existing,Justice and emergency services,271000000
Court Services Victoria,2022,qtr 4 2023-24,129000000,24000000,,Bendigo Law Courts Redevelopment (Bendigo),Completed,Justice and emergency services,152000000
Department of Education,2022,qtr 4 2025-26,0,104000000,,Essential maintenance and compliance (statewide),New,Education and Training,104000000
Department of Education,2022,qtr 4 2023-24,0,147000000,,Relocatable Buildings Program – providing relocatable buildings to meet growing demand (statewide),New,Education and Training,147000000
Department of Education,2022,qtr 3 2027-28,0,208000000,This initiative is published under the title 'Three-Year-Old Kinder' in Budget Paper 3 2023-24.,Kinder for every three-year-old - funding for facilities to support three-year-old kinder programs (statewide),New,Education and Training,208000000
Department of Education,2022,qtr 3 2025-26,0,573000000,"To open in 2025:
- Clyde North Primary School (Interim Name)
- Clyde North Secondary School (Interim Name)
- Pakenham North West Primary School (Interim Name)
- Riverdale North Primary School (Interim Name)
- Thompsons West Primary School (Interim Name)
- Wollert Central Primary School (Interim Name)

To open in 2026:
- Fishermans Bend Primary School (Interim Name)
- Lockerbie Secondary School (Interim Name)
- Point Cook South P-9 (Interim Name)
New schools planning and early works - to open in 2026:
- Casey Central Primary School (Interim Name)
- Lockerbie Specialist School (Interim Name)
- Point Cook South Specialist school (Interim Name)

New schools - additional stages:
- Clyde Secondary College 
- Greenvale Secondary College",New schools construction (statewide),New,Education and Training,573000000
Department of Education,2022,qtr 4 2025-26,1000000,119000000,,Essential maintenance and compliance 2022-23 (statewide),Existing,Education and Training,120000000
Department of Education,2022,qtr 4 2027-28,8000000,2213000000,"The TEI includes $1,308.0 million of funding provided as part of the 2022-23 Victorian Economic and Fiscal Update, and $912.8 million published in Budget Paper 3 2023-24. The TEI allocation is for land acquisition and construction of the early learning infrastructure facilities which will be completed by the end of 2027-28. Best Start, Best Life is a ten-year infrastructure program with an overall program completion date of 2032-33.","Best Start, Best Life: Infrastructure (statewide)",New,Education and Training,2221000000
Department of Education,2022,qtr 2 2025-26,11000000,315000000,,Special school upgrades 2022-23 (statewide),Existing,Education and Training,326000000
Department of Education,2022,qtr 4 2024-25,79000000,155000000,"The TEI has decreased by $2.727 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",Land acquisition 2022-23 (various),Existing,Education and Training,234000000
Department of Education,2022,qtr 4 2023-24,116000000,165000000,"The TEI has increased by $1.142 million due to a revised project scope, funded by a $0.576 million co-contribution from the schools and a $0.566 million co-contribution from local councils. This is offset by a TEI decrease of $2.932 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",Ready for school: Kinder for every three-year-old 2019-20 (statewide),Existing,Education and Training,280000000
Department of Education,2022,qtr 2 2023-24,121000000,10000000,"The TEI has increased by $0.647 million, of which $0.096 million is due to a revised project scope funded by co-contributions from schools, and $0.551 million funded from a third party for necessary re-tendering. The TEI includes $0.246 million in total co-contributions from the schools. The estimated completion date has been revised to quarter 2 2023-24 in line with a revised project schedule.",School upgrades - growth for 2022 (metropolitan various),Existing,Education and Training,131000000
Department of Education,2022,qtr 1 2024-25,143000000,154000000,The TEI has decreased by $4.570 million due to funds being redirected to land acquisition activities announced in the 2023-24 Budget.,Land acquisition 2021-22 (various),Existing,Education and Training,297000000
Department of Education,2022,qtr 1 2025-26,250000000,478000000,"The TEI has increased by $201.090 million, of which $180.295 million is due to market escalation in the construction sector and $20.795 million is reprioritised from the ‘New Schools and additional stages' initiative funded in the Building Works package and the Bass Coast College initiative.",New Schools Construction 2022-23 (statewide),Existing,Education and Training,728000000
Department of Education,2022,qtr 3 2023-24,455000000,33000000,"The TEI has increased by $0.499 million due to a revised project scope, funded by a co-contribution from Tarneit Senior College. This is offset by a TEI decrease of $4.270 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",New School Construction 2021-22 (statewide),Existing,Education and Training,488000000
Department of Education,2022,qtr 2 2023-24,605000000,1000000,The TEI includes $0.509 million in co-contributions from schools.,New Schools Construction 2019-20 (statewide),Completed,Education and Training,605000000
"Department of Environment, Energy and Climate Action",2022,qtr 4 2023-24,102000000,29000000,The TEI has increased by $37.500 million due to additional Commonwealth Government funding. The TEI includes a total of $131.435 million of Commonwealth Government funding.,Goulburn-Murray Water - Water Efficiency Project (statewide),Existing,Water,131000000
"Department of Environment, Energy and Climate Action",2022,qtr 4 2025-26,148000000,21000000,,National Water Infrastructure Development Fund - National Partnership Agreement (regional various),Existing,Water,169000000
"Department of Environment, Energy and Climate Action",2022,qtr 4 2023-24,180000000,12000000,,Suburban Parks Program (Creating a Ring of New Parkland) (metropolitan),Existing,Environment,192000000
Department of Health,2022,qtr 4 2026-27,0,112000000,,More hospital and aged care beds for Melbourne’s East (Angliss Hospital Expansion Stage 2) (Upper Ferntree Gully),Existing,Health and human services,112000000
Department of Health,2022,qtr 1 2028-29,0,162000000,This initiative is part of Labor's Financial Statement 2022.,Better aged care services for regional Victorians (regional various),New,Health and human services,162000000
Department of Health,2022,qtr 2 2026-27,0,320000000,"This Fund is established to plan major investments in hospitals across Victoria. This initiative is part of Labor's Financial Statement 2022.

- A new hospital for West Gippsland to put patients first
- A new Queen Elizabeth II Hospital in Melbourne’s East
- A Hospital Plan for our growing Northern suburbs
- A bigger and better Monash Medical Centre
- A Hospital Plan for the South-East – Dandenong Hospital
- Wonthaggi hospital redevelopment",Hospital Infrastructure Delivery Fund (statewide),New,Health and human services,320000000
Department of Health,2022,qtr 1 2025-26,1002000000,996000000,This project is a PPP where the upfront capital investment has resulted in additional scope and whole-of-life benefits whilst remaining within the project’s affordability benchmark. The TEI reflects the inclusion of the Victoria University project components which are to be reimbursed by Victoria University.,Building a better hospital for Melbourne's inner west (Footscray),Existing,Health and human services,1999000000
Department of Health,2022,qtr 4 2027-28,1000000,142000000,,Rural and Regional PSRACS Revitalisation Strategy Stage 1 2022-23 (regional various),Existing,Health and human services,143000000
Department of Health,2022,qtr 4 2026-27,2000000,234000000,,Emergency Departments Expansion Program – Casey Hospital and Werribee Mercy Hospital (Casey) (Werribee),Existing,Health and human services,236000000
Department of Health,2022,qtr 4 2031-32,3000000,2335000000,This initiative was announced in the 2022 Victorian Economic and Fiscal Update.,Redevelopment of Royal Melbourne Hospital and Royal Women's Hospital (Arden/Parkville),New,Health and human services,2338000000
Department of Health,2022,qtr 4 2025-26,3000000,132000000,,Modernisation of metropolitan Melbourne Public Sector Residential Aged Care Services Strategy: Stage 3 Kingston Project (Cheltenham),Existing,Health and human services,135000000
Department of Health,2022,qtr 4 2028-29,5000000,191000000,The estimated completion date has been revised to quarter 4 2028-29 in line with a revised project schedule.,Additional acute mental health beds in regional Victoria (various),Existing,Health and human services,196000000
Department of Health,2022,qtr 2 2029-30,9000000,tbc,The estimated completion date was previously ‘tbc' and has now been disclosed following further project development. The TEI and remaining expenditure will be confirmed following the completion of the tender process. The TEI includes $50.000 million of Commonwealth Government funding under the Community Health and Hospitals Program agreement.,Barwon Women's and Children's Hospital (Geelong),Existing,Health and human services,500000000
Department of Health,2022,qtr 2 2024-25,11000000,104000000,The TEI has increased by $15.000 million due to market conditions.,Building a world class hospital in Maryborough (Maryborough),Existing,Health and human services,115000000
Department of Health,2022,qtr 4 2024-25,11000000,130000000,,Expanding mental health treatment facilities for Victoria's youth (statewide),Existing,Health and human services,141000000
Department of Health,2022,qtr 4 2025-26,17000000,283000000,,Regional Health Infrastructure Fund 2022-23 (regional various),Existing,Health and human services,300000000
Department of Health,2022,qtr 4 2026-27,34000000,350000000,The estimated completion date has been revised to quarter 4 2026-27 in line with a revised project schedule.,Warrnambool Base Hospital redevelopment (incl Warrnambool Logistics Hub) (Warrnambool),Existing,Health and human services,384000000
Department of Health,2022,qtr 4 2028-29,38000000,tbc,The TEI for this initiative will be reported as commercial arrangements are finalised. The estimated completion date was previously ‘tbc’ and has now been disclosed following further project development.,New Melton Hospital (Cobblebank),Existing,Health and human services,900000000
Department of Health,2022,qtr 4 2023-24,55000000,45000000,,Regional Health Infrastructure Fund 2019-20 (regional various),Existing,Health and human services,100000000
Department of Health,2022,qtr 4 2024-25,58000000,62000000,The estimated completion date has been revised to quarter 4 2024-25 in line with a revised project schedule.,Regional Health Infrastructure Fund 2020-21 (regional various),Existing,Health and human services,120000000
Department of Health,2022,qtr 2 2028-29,62000000,534000000,The TEI has increased by $54.188 million due to a revised project scope to include a helipad and a 400-space car park.,Ballarat Health Services expansion and redevelopment and the new Central Energy Plant (Ballarat),Existing,Health and human services,596000000
Department of Health,2022,qtr 4 2024-25,71000000,392000000,The project name has changed from 'Expanding and improving bed-based forensic mental health services: Thomas Embling Hospital (Fairfield)' when it was published in the 2022-23 Budget. The TEI has increased by $123.897 million due to combining this initiative with the 'Redevelopment of Thomas Embling Hospital - Stage 2 (Fairfield)' initiative funded in the 2022-23 Budget.,Forensic Mental Health Expansion Project Stage 1 and 2 (Fairfield),Existing,Health and human services,462000000
Department of Health,2022,qtr 2 2023-24,73000000,50000000,,More help for Victorian mums and dads (statewide),Existing,Health and human services,123000000
Department of Health,2022,qtr 4 2028-29,82000000,118000000,"The TEI, cash flows, and estimated completion date were previously ‘tbc' and have now been disclosed following the outcome of commercial negotiations for the leasing of the Frankston Public Surgical Centre. The TEI includes the Frankston Public Surgical Centre lease and additional fit-out costs, funding for additional rapid access hubs previously held in contingency and additional funding for the Surgical Equipment Innovation Fund. The estimated completion date has been updated to quarter 4 2028-29 to reflect the term of the Frankston Public Surgical Centre lease.",COVID catch-up plan (statewide),Existing,Health and human services,200000000
Department of Health,2022,qtr 4 2024-25,95000000,92000000,The estimated completion date has been revised to quarter 4 2024-25 in line with a revised project schedule.,Metropolitan Health Infrastructure Fund (metropolitan various),Existing,Health and human services,187000000
Department of Health,2022,qtr 4 2023-24,114000000,1000000,,Wonthaggi Hospital emergency department expansion (Wonthaggi),Completed,Health and human services,115000000
Department of Health,2022,qtr 4 2023-24,137000000,86000000,The TEI has increased by $6.500 million due to this initiative being combined with the 'Mental health and alcohol and other drugs emergency department hubs in regional Victoria (Traralgon)' initiative funded in the 2022-23 Budget.,Building a bigger and better Latrobe Regional Hospital (Traralgon),Existing,Health and human services,224000000
Department of Health,2022,qtr 2 2023-24,146000000,23000000,The estimated completion date has been revised to quarter 2 2023-24 in line with a revised project schedule.,Meeting ambulance response times (statewide),Existing,Justice and emergency services,169000000
Department of Health,2022,qtr 4 2024-25,146000000,529000000,,Ten new community hospitals to give patients the best care (statewide),Existing,Health and human services,675000000
Department of Health,2022,qtr 2 2024-25,162000000,1000000,,Northern Hospital inpatient expansion - Stage 2 (Epping),Completed,Health and human services,163000000
Department of Health,2022,qtr 2 2023-24,225000000,5000000,The estimated completion date has been revised to quarter 2 2023-24 in line with a revised project schedule.,Goulburn Valley Health redevelopment - planning and development (Shepparton),Existing,Health and human services,229000000
Department of Health,2022,qtr 1 2024-25,235000000,15000000,The estimated completion date has been revised to quarter 1 2024-25 in line with a revised project schedule.,Regional Health Infrastructure Fund (regional various),Existing,Health and human services,250000000
Department of Health,2022,qtr 3 2025-26,249000000,869000000,"This project is a PPP where the upfront capital investment has resulted in additional scope and whole-of-life benefits whilst remaining within the project’s affordability benchmark. The estimated completion date reflects the completion of main works by the end of 2025, with the remaining refurbishment and other works completed by 2027-28.",Building a world class hospital for Frankston families (Frankston),Existing,Health and human services,1118000000
Department of Health,2022,qtr 4 2023-24,315000000,3000000,,Royal Victorian Eye and Ear Hospital redevelopment (Melbourne),Completed,Health and human services,318000000
Department of Health,2022,qtr 3 2024-25,428000000,64000000,The estimated completion date has been revised to quarter 3 2024-25 in line with a revised project schedule.,A Pathway to more acute mental health beds: Responding to the interim report of the Royal Commission into Victoria's Mental Health System (statewide),Existing,Health and human services,492000000
Department of Health,2022,qtr 2 2024-25,573000000,4000000,,Victorian Heart Hospital (Clayton),Completed,Health and human services,577000000
"Department of Jobs, Skills, Industry and Regions",2022,qtr 4 2025-26,90000000,317000000,"There has been a net decrease in TEI of $7.250 million, resulting from a $17.100 million reduction in TEI due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards, and a $9.850 million increase in TEI due to additional funding to meet forecast capital costs to deliver the Geelong Convention and Exhibition Centre. The TEI includes $156.000 million of Commonwealth Government funding.",Geelong City Deal (Geelong),Existing,"Culture, sport and community",407000000
"Department of Jobs, Skills, Industry and Regions",2022,qtr 2 2022-23,142000000,0,"The TEI includes funding of $142.050 million announced in the 2022 Victorian Economic and Fiscal Update. This initiative moved from the former Department of Education and Training to the Department of Jobs, Skills, Industry and Regions due to machinery of government changes.",Prahran campus site purchase and master planning (Prahran),Completed,Education and Training,142000000
Department of Justice and Community Safety,2022,qtr 4 2023-24,1026000000,43000000,The TEI has decreased by $49.402 million.,Western Plains Correctional Centre (Lara),Completed,Justice and emergency services,1069000000
Department of Justice and Community Safety,2022,qtr 4 2024-25,72000000,54000000,,Emergency Services High-priority infrastructure (statewide),Existing,Justice and emergency services,126000000
Department of Justice and Community Safety,2022,qtr 4 2024-25,74000000,68000000,,Technology and resources to support Victoria's fines system (statewide),Existing,Justice and emergency services,142000000
Department of Justice and Community Safety,2022,qtr 3 2023-24,126000000,26000000,The TEI has decreased by $36.300 million.,Women’s prison system capacity (statewide),Completed,Justice and emergency services,153000000
Department of Justice and Community Safety,2022,various,307000000,8000000,,Community Safety Statement (statewide),Existing,Justice and emergency services,315000000
Department of Justice and Community Safety,2022,qtr 3 2023-24,407000000,13000000,,New youth justice facility (metropolitan),Completed,Justice and emergency services,420000000
Department of Justice and Community Safety,2022,qtr 2 2024-25,520000000,238000000,The TEI has decreased by $37.573 million due to a reduced project contingency. The estimated completion date has been revised to quarter 2 2024-25 in line with a revised project schedule.,Men's prison system capacity (statewide),Existing,Justice and emergency services,758000000
Department of Transport and Planning,2022,qtr 4 2032-33,0,1250000000,,Road maintenance and renewal (statewide),New,Transport,1250000000
Department of Transport and Planning,2022,qtr 4 2024-25,1339000000,10000000,,Metropolitan Network Modernisation Program (metropolitan various),Completed,Transport,1348000000
Department of Transport and Planning,2022,qtr 4 2028-29,4000000,670000000,The TEI includes $170.000 million of Commonwealth Government funding. This initiative is part of Labor’s Financial Statement 2022.,Road blitz to get families home sooner and safer (statewide),New,Transport,674000000
Department of Transport and Planning,2022,qtr 2 2025-26,5393000000,3439000000,"The TEI has decreased by $114.306 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",85 by 2025 (Level Crossing Removal) (metropolitan various),Existing,Transport,8832000000
Department of Transport and Planning,2022,qtr 4 2024-25,6295000000,39000000,"The TEI includes $151.000 million of Commonwealth Government funding for the Main Road, St Albans project. The TEI has decreased by $8.692 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards. The completion of this initiative acquits the Government's 2015-16 Budget commitment to remove 50 level crossings from the transport network.",Level Crossing Removal Program (metropolitan various),Completed,Transport,6334000000
Department of Transport and Planning,2022,qtr 2 2025-26,7990000000,2164000000,"The TEI has decreased by $58.212 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",West Gate Tunnel (metropolitan various),Existing,Transport,10154000000
