name,theme,entity,type,investment,lga,feature_type,Geographic Latitude,Geographic Longitude,description
Jacana School for Autism,Education,Department of Education,Special School Upgrades,$10 million,Hume (C),Point,-37.68762,144.91309,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Jackson School,Education,Department of Education,Special School Upgrades,$10 million,Brimbank (C),Point,-37.75602,144.81418,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Marnebek School Cranbourne - campus 1 and 2,Education,Department of Education,Special School Upgrades,$38.8 million,Casey (C),Point,-38.1102,145.2965,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Melton Specialist School,Education,Department of Education,Special School Upgrades,$9.7 million,Melton (C),Point,-37.68057,144.56822,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Merriang Special Developmental School,Education,Department of Education,Special School Upgrades,$3.4 million,Whittlesea (C),Point,-37.66724,145.01508,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Monash Special Developmental School,Education,Department of Education,Special School Upgrades,$10 million,Monash (C),Point,-37.90698,145.1658,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Nelson Park School,Education,Department of Education,Special School Upgrades,$10 million,Greater Geelong (C),Point,-38.11424,144.3377,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Nepean Special School,Education,Department of Education,Special School Upgrades,$2.8 million,Frankston (C),Point,-38.11943,145.14233,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Port Phillip Specialist School,Education,Department of Education,Special School Upgrades,$9.3 million,Port Phillip (C),Point,-37.83679,144.94197,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Rosamond Special School,Education,Department of Education,Special School Upgrades,$10 million,Maribyrnong (C),Point,-37.77964,144.85541,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Southern Autistic School,Education,Department of Education,Special School Upgrades,$6.6 million,Glen Eira (C),Point,-37.92672,145.06208,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Sunshine Special Developmental School,Education,Department of Education,Special School Upgrades,$10 million,Brimbank (C),Point,-37.80343,144.81989,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Swan Hill Specialist School,Education,Department of Education,Special School Upgrades,$1.6 million,Swan Hill (RC),Point,-35.34924,143.54509,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Vermont South Special School,Education,Department of Education,Special School Upgrades,$10.1 million,Whitehorse (C),Point,-37.85114,145.1806,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Victorian College For The Deaf,Education,Department of Education,Special School Upgrades,$10 million,Melbourne (C),Point,-37.84977,144.98231,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Warringa Park School,Education,Department of Education,Special School Upgrades,$8 million,Wyndham (C),Point,-37.88404,144.68759,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Yarra Ranges Special Developmental School,Education,Department of Education,Special School Upgrades,$8.9 million,Yarra Ranges (S),Point,-37.77502,145.38487,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Yarraville Special Developmental School,Education,Department of Education,Special School Upgrades,$5.5 million,Maribyrnong (C),Point,-37.81791,144.88365,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Epsom Primary School,Education,Department of Education,School Upgrades,$0.6 million,Greater Bendigo (C),Point,-36.70505,144.31269,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
Wattle Park Primary School,Education,Department of Education,School Upgrades,$0.7 million,Whitehorse (C),Point,-37.84264,145.09737,Thirty-nine special schools across Victoria will receive funding for upgrades. This will create modern safe places for students with disability to learn and explore.
,,,,,,,,,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
,,,,,,,,,One hundred and twenty-three schools across Victoria will receive funding for upgrades.
